"{17, 4} -> 4"
"{14, 8} -> 5"
"{17, 15} -> 2"
"{15, 0} -> 3"
"{16, 9} -> 8"
"{18, 18} -> 3"
"{17, 7} -> 10"
"{13, 8} -> 6"
"{17, 14} -> 11"
"{8, 1} -> 7"
"{15, 14} -> 5"
"{14, 6} -> 4"
"{10, 0} -> 5"
"{12, 0} -> 3"
"{5, 0} -> 4"
"{15, 13} -> 3"
"{1, 4} -> 9"
"{3, 0} -> 8"
"{1, 1} -> 9"
"{16, 16} -> 2"
"{9, 1} -> 6"
"{2, 4} -> 2"
"{14, 13} -> 6"
"{3, 1} -> 8"
"{1, 9} -> 1"
"{2, 0} -> 2"
"{18, 15} -> 7"
"{3, 3} -> 3"
"{12, 7} -> 10"
"{7, 0} -> 3"
"{14, 10} -> 5"
"{4, 8} -> 12"
"{2, 11} -> 2"
"{7, 1} -> 2"
"{15, 10} -> 7"
"{6, 9} -> 4"
"{16, 12} -> 2"
